userSeq,ancient,medieval,modern,donation,painting,world,craft,science,space,human,natural,future,createdAt,updatedAt
1,13,0,0,11,5,7,19,27,13,18,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
2,1,0,0,6,9,29,25,28,6,24,16,4,"2020-06-20 05:47:53","2020-06-20 05:47:53"
3,14,0,0,18,0,0,16,11,7,25,7,27,"2020-06-20 05:47:53","2020-06-20 05:47:53"
4,22,7,12,17,17,16,8,20,21,16,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
5,18,8,5,10,27,14,23,18,30,22,2,16,"2020-06-20 05:47:53","2020-06-20 05:47:53"
6,10,0,0,20,17,2,23,25,0,18,14,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
7,14,0,0,6,1,27,14,27,29,12,6,19,"2020-06-20 05:47:53","2020-06-20 05:47:53"
8,25,0,0,20,0,0,23,22,0,26,13,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
9,7,30,25,7,14,10,2,17,0,15,2,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
10,0,0,0,0,0,0,0,3,0,0,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
11,25,19,12,13,0,0,6,29,27,21,0,2,"2020-06-20 05:47:53","2020-06-20 05:47:53"
12,19,8,10,15,30,15,3,20,0,30,22,25,"2020-06-20 05:47:53","2020-06-20 05:47:53"
13,18,30,15,7,0,0,15,4,2,1,0,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
14,22,7,18,24,21,22,27,4,20,0,18,4,"2020-06-20 05:47:53","2020-06-20 05:47:53"
15,21,1,26,20,0,0,5,18,17,24,26,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
16,27,0,0,3,0,0,7,23,0,5,25,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
17,26,0,0,15,1,29,17,21,0,21,22,11,"2020-06-20 05:47:53","2020-06-20 05:47:53"
18,29,20,11,30,24,14,2,17,24,2,13,27,"2020-06-20 05:47:53","2020-06-20 05:47:53"
19,8,17,20,5,0,0,27,22,1,14,14,4,"2020-06-20 05:47:53","2020-06-20 05:47:53"
20,9,24,1,5,0,0,20,15,0,19,20,0,"2020-06-20 05:47:53","2020-06-20 05:47:53"
